X,Y,OBJECTID_1,OBJECTID,LIBRARIES_,DISTRICT,ST_ADDRESS,BRANCH,ZIPCODE
-71.065006409545546,42.361446684455274,1,5,5, ,151 Cambridge St,West End,02114
-71.070968053188679,42.287519203629671,2,11,11, ,690 Washington St,Codman Square,02124
-71.122135805346076,42.257104012218086,3,17,17,HYDE PARK,35 Harvard Av,Hyde Park,02136
-71.111098666378751,42.320645768833877,4,18,18,JAMAICA PLAIN,433 Centre St,Connolly,02130
-71.08351572275285,42.328017791234736,5,22,22,ROXBURY,65 Warren St,Dudley,02119
-71.078869294034931,42.349435136605372,6,1,1,COPLEY SQUARE,700 Boylston St,Central,02116
-71.055024906168327,42.364079862870447,7,3,3, ,25 Parmenter St,North End,02113
-71.077032008366871,42.341332133700639,8,4,4, ,685 Tremont St,South End,02118
-71.128107002828926,42.36011296149519,9,6,6,BRIGHTON,300 North Harvard St,Honan-Allston,02134
-71.152906561287637,42.347685498354302,10,7,7, ,40 Academy Hill Rd,Brighton,02135
-71.167878112268923,42.351322653121237,11,8,8, ,419 Faneuil St,Faneuil,02135
-71.064438375999231,42.375816432973785,12,9,9,CHARLESTOWN,179 Main St,Charlestown,02129
-71.054405147830735,42.286273799518533,13,10,10,DORCHESTER,690 Adams St,Adams Street,02122
-71.060306505029715,42.298885456934123,14,12,12, ,1520 Dorchester Av,Fields Corner,02122
-71.068508917134423,42.273551459900666,15,13,13, ,27 Richmond St,Lower Mills,02124
-71.06753479597073,42.314853698048267,16,14,14, ,500 Columbia Rd,Uphams Corner,02125
-71.028577242521862,42.377766335026557,17,15,15,EAST BOSTON,365 Bremen St,East Boston,02128
-71.114878499297333,42.308633746155223,18,19,19, ,12 Sedgwick St,Jamaica Plain,02130
-71.093139832733343,42.277523969736684,19,20,20,MATTAPAN,1350 Blue Hill Avenue,Mattapan,02126
-71.12865457022977,42.285647482740309,20,21,21,ROSLINDALE,4246 Washington St,Roslindale,02131
-71.095632187100776,42.314056781272697,21,23,23, ,2044 Columbus Av,Egleston Square,02119
-71.0811937657854,42.307987726976577,22,24,24, ,41 Geneva Ave,Grove Hall,02121
-71.099079461190684,42.332461368347538,23,25,25, ,1497 Tremont St,Parker Hill,02120
-71.157450111787327,42.283395745608061,24,27,27,WEST ROXBURY,1961 Centre St,West Roxbury,02132
-71.038718591858071,42.335836037093181,25,28,28, SOUTH BOSTON,646 East Broadway,South Boston,02127
-71.063056666006688,42.352142932207343,27,,,CHINATOWN,2 Boylston St,Chinatown,02116
